DNI,nombre, Apellido_Materno,Apellido_Paterno,Fecha_Nac,teléfono,sexo
70000000,Alzina,Martinez,Davis,1981-4-16,34319448,M
70000001,Conner,Miller,Wilson,1978-10-18,13295489,F
70000002,Elida,Johnson,Jackson,1981-11-10,18429353,M
70000003,Emmer,Lee,Thompson,1977-10-10,25544159,F
70000004,Katlyn,Martinez,Davis,1984-8-7,76117931,M
70000005,Aretha,Lee,Johnson,1971-12-4,81232315,F
70000006,Magdalene,Martin,Miller,1997-7-10,35635226,F
70000007,Chloie,Jones,Martin,1973-10-28,15737656,F
70000008,Violet,Wilson,Lee,1984-5-9,94356547,M
70000009,Antionette,Brown,Williams,1993-11-18,88431894,F
70000010,Kristin,Taylor,Smith,1989-7-10,46948563,M
70000011,Brennon,Williams,Martinez,1996-12-26,82724671,F
70000012,Beatrice,Taylor,Brown,1987-4-27,95988534,F
70000013,Maira,Moore,Martin,1995-8-16,43912269,M
70000014,Curtis,Taylor,Rodriguez,1974-4-18,33398858,F
70000015,Marylou,Thomas,Martin,1971-11-6,65233429,F
70000016,Albertina,Taylor,Jones,1999-10-28,56974748,M
70000017,Corliss,Martin,Brown,1979-1-1,64384596,M
70000018,Pamella,Jones,Jones,1980-3-0,47133474,M
70000019,Sybilla,Jones,Martinez,1984-9-18,46644981,F
70000020,Irine,Thompson,Garcia,1971-10-22,85787712,M
70000021,Derrek,Johnson,Brown,1970-10-15,67821996,M
70000022,Willia,Lee,Martinez,1979-5-3,41219687,M
70000023,Marcy,Lee,Brown,1999-11-14,22372361,F
70000024,Aiden,Rodriguez,Jones,1980-8-22,58667395,M
70000025,Boston,Garcia,Jones,1992-10-18,46863766,M
70000026,Tambra,Lee,Martin,1986-10-6,78712218,M
70000027,Arley,Davis,Anderson,1970-3-14,41624889,F
70000028,Florine,Wilson,Smith,1971-3-25,77137147,F
70000029,Henderson,Lee,Jackson,1982-3-10,93654929,M
70000030,Reginald,Thompson,Jackson,1997-1-23,65857331,F
70000031,Delle,Williams,Martin,1984-5-19,26171469,F
70000032,Afton,Thomas,Taylor,1995-2-16,98251671,F
70000033,Willia,Brown,Smith,1995-6-25,34248153,M
70000034,Percy,Brown,Wilson,1995-8-19,91383249,F
70000035,Channie,Williams,Garcia,1975-10-24,29321226,F
70000036,Dyan,Brown,Smith,1971-11-5,32349552,M
70000037,Hunter,Thomas,Martin,1989-1-1,69868977,M
70000038,Jeanne,Martinez,Thomas,1996-5-20,55286238,F
70000039,Hortense,White,Davis,1994-12-16,69236191,F
70000040,Miriam,Wilson,Williams,1984-3-11,34559843,F
70000041,Arra,Smith,Thompson,1972-12-27,86898277,M
70000042,Tyrik,Brown,Jackson,1981-8-28,32774557,F
70000043,Jackie,Jackson,Thompson,1996-1-9,59638434,F
70000044,Hershell,Rodriguez,White,1984-12-27,37574827,M
70000045,Wayman,Wilson,Rodriguez,1981-11-25,53114656,M
70000046,Shyheim,Wilson,Martin,1970-1-19,67414566,M
70000047,Candy,Miller,Thomas,1983-11-23,91298363,F
70000048,Armida,Martinez,Brown,1976-11-26,88399625,M
70000049,Kya,Moore,White,1986-3-3,97486319,M
70000050,Lavinia,Davis,Williams,1971-11-16,89718459,M
70000051,Kyleigh,Johnson,Miller,1986-12-1,99435856,F
70000052,Alyce,Miller,Miller,1993-4-18,28389134,M
70000053,Smith,Jones,Moore,1979-1-24,27167523,M
70000054,Yesenia,Davis,Smith,1990-8-26,39267147,M
70000055,Vesta,Brown,Wilson,1972-7-23,91996625,M
70000056,Fabian,Wilson,Taylor,1993-3-23,91616297,M
70000057,Syreeta,White,Garcia,1996-3-8,59846487,M
70000058,Rolanda,Thomas,Miller,1976-1-17,19458967,M
70000059,Margret,Johnson,Smith,1986-3-16,11383818,F
70000060,Cathy,Davis,Martinez,1972-9-9,52886669,M
70000061,Roy,Martinez,Thomas,1982-1-17,78776754,F
70000062,Hays,Martin,Anderson,1986-7-22,45422957,M
