DNI_ponente,Cod_capacitacion
43883625,34
91896621,29
72842075,5
90106712,31
82298556,40
81765475,9
79278930,35
77469398,42
77753064,2
68685020,31
40039005,21
01635775,30
52691383,29
93389432,44
72149261,44
03580902,20
76972267,33
18328978,48
06929460,40
54711110,17
57596361,12
80761503,1
91103758,14
59387504,30
94726953,34
73205695,17
10114080,5
27468194,5
28445417,29
13979186,4
13470008,48
99345216,2
25612677,29
13323648,19
76077793,33
11028558,2
89269383,16
68891496,47
90106712,2
72842075,0
13323648,44
76972267,46
18937558,19
28445417,37
70885125,4
84450965,24
21048368,19
84336757,35
27645536,30
67260386,20
57147048,44
52559664,13
96041224,29
68891496,43
67044735,43
81913920,20
36280202,17
51461267,41
49249371,21
78087144,39
67444596,22
87426738,29
80419004,46
77169784,44
21302710,20
98390602,44
01534719,41
63849934,26
06114301,21
80419004,4
13470008,17
87324640,4
42371877,44
77257233,25
01600665,25
51637703,40
54742991,32
52691383,43
51494090,35
57066485,8
11561031,6
78157015,21
39287070,12
67463174,23
56976942,20
47440797,0
65627561,6
49903471,26
84336757,1
04788203,16
68365445,17
46497703,26
53247875,30
67260386,31
29611817,10
21302710,23
70491884,43
14353268,19
83043879,42
57251519,41
28534102,21
40816110,4
17508676,45
52612339,28
28156414,35
18964581,24
78157015,2
64144139,6
48977134,21
21456090,0
48885142,28
71345499,1
59154540,19
41196997,29
47844794,14
46520992,28
16428478,13
52559664,15
87426738,16
95457464,8
39816457,39
40039005,8
57251519,35
87272740,26
49249371,2
93217054,43
07624213,3
24278967,4
86972430,18
27468194,36
21302710,6
66041247,21
29488179,1
64620996,32
11012051,29
04764002,23
17387978,28
13251356,12
97008046,46
78157015,26
64015168,18
50474099,32
37257554,17
48278632,45
70997712,23
80049594,21
68330784,1
47342311,3
84448488,29
92081486,26
18964581,31
73603946,29
11012051,35
47006046,26
78157587,33
95457464,33
55842732,24
70491884,26
57147048,5
08713958,31
18937558,8
28337380,11
16913876,48
57819438,17
20274994,5
55133582,38
29794522,0
46520992,49
56976942,13
80761503,21
49157092,30
20551948,4
80049594,22
03487744,1
16428478,7
57133357,9
96466723,39
37257554,30
25854699,38
68330784,17
82128089,45
67044735,31
21852210,27
96447524,33
39775566,7
37891058,42
20274994,10
97529459,49
88125348,29
87324640,14
66513821,36
39386270,5
99481077,47
39816457,15
17508676,35
77469398,28
60654060,38
97999104,28
92081486,41
95803512,8
18964581,17
96114417,40
47440797,49
65449801,12
57819438,43
36721638,17
72332980,3
05671732,8
75029212,10
30956761,37
04554296,6
11230059,27
22152875,28
54742991,13
57147048,20
77753064,21
59762081,26
18379479,15
57819438,3
77799131,6
09118259,6
09107232,49
42612052,11
49903471,12
08565905,6
23918448,17
89921494,16
77469398,43
10058269,16
94362625,4
36721638,3
67143631,2
54789761,8
91516618,48
88133561,6
01822831,41
83043879,18
70392860,26
20089939,4
19331258,32
