Cod_capacitacion,DNI_ponente,Fecha
0,39307430,2013-10-26
1,54742991,2014-6-7
2,57066485,2015-6-28
3,06208429,2015-7-26
4,66041247,2016-4-15
5,93449092,2013-12-4
6,76972267,2015-7-17
7,23413049,2016-11-19
8,92912303,2016-6-15
9,41928032,2015-6-19
10,08713958,2016-10-28
11,96447524,2016-2-10
12,24304648,2013-2-6
13,00542266,2014-5-10
14,08842207,2015-5-14
15,48885142,2015-11-28
16,95457464,2016-3-6
17,20893133,2013-2-17
18,29816252,2015-9-0
19,45255878,2014-4-22
20,76972267,2013-8-1
21,96466723,2016-4-24
22,63390623,2016-6-10
23,13323648,2016-9-12
24,37257554,2016-2-12
25,13979186,2015-11-25
26,11561031,2015-7-9
27,51271907,2014-6-21
28,12423856,2013-10-16
29,94040530,2014-1-5
30,20274994,2014-5-0
31,55503793,2014-10-15
32,38800375,2015-1-1
33,16913876,2015-6-13
34,13154490,2016-4-23
35,71096578,2013-12-13
36,18964581,2013-1-2
37,31669676,2013-7-25
38,78087144,2015-5-4
39,42612052,2014-6-25
40,51271907,2014-3-12
41,37257554,2016-11-9
42,90586248,2014-3-9
43,54010388,2014-9-20
44,14475552,2013-7-21
45,77257233,2013-2-10
46,39287070,2014-5-26
47,46531212,2015-6-17
48,14413243,2013-3-23
49,70885125,2013-7-9
