Num_Ticket,ClienteDNI,id_ruta,AgenciaNombre,BusPlaca,Fecha_viaje
0,70001605,Apu-Cal,Máncora,hsxj4h4s4a,2018-3-5
1,70001525,Lam-Mad,Oficina Bolivar,968gf0g5tk,2018-4-28
2,70000056,San-Piu,Los Organos,8qitbd4fm3,2018-9-6
3,70001535,Caj-Tum,Paita,wm1oeadopi,2018-11-12
4,70001390,Mad-Caj,Paita Terminal,4i30mepk1r,2018-6-14
5,70001117,Lor-Lim,Oficina Juan Pablo,45t39son1x,2018-2-10
6,70000426,Hua-Lim,Paita,7484pr6133,2018-1-25
7,70001757,Ica-Pun,Chimbote,ovh5fp5vlw,2018-10-27
8,70000849,Tum-Tac,Piura Terminal,7pxbh2ao74,2018-3-21
9,70000186,Pas-Ica,Paita,8sw2196wu0,2018-10-17
10,70001835,Apu-Ica,Plaza Norte,5562n7q55i,2018-5-13
11,70000008,Hua-Lim,Tumbes,4nv4ki42sd,2018-1-8
12,70000445,Mad-Cal,Oficina Juan Pablo,gc4437hsqv,2018-3-22
13,70001130,Hua-Anc,Talara,rft81mm44g,2018-12-17
14,70001775,Moq-Are,Máncora,i0mq4q355f,2018-5-22
15,70000378,San-La ,Talara,su1b8vhxs2,2018-3-12
16,70001201,Hua-Jun,Chiclayo,jmkrkq326r,2018-12-3
17,70001500,Hua-San,Paita,ef54p83ua1,2018-8-16
18,70000693,Ama-Hua,Paita Terminal,9m1q339f49,2018-6-11
19,70000503,Ica-Piu,Oficina Juan Pablo,8e03ll83hi,2018-7-1
20,70001825,Pun-Hua,Talara,57838q07w8,2018-6-19
21,70000656,Piu-Ica,Lima,8o9h6io82u,2018-9-24
22,70000044,Pas-Lor,Chimbote,37l9ocsob3,2018-6-27
23,70001592,La -Tac,Lima,uc3742l492,2018-6-22
24,70000121,Anc-Are,Sullana,9n93as50dk,2018-5-21
25,70001230,Tum-Tac,Terrapuerto Trujillo,48o0d0kkq3,2018-10-7
26,70001988,Ica-Piu,Los Organos,9pweqx190h,2018-12-2
27,70000515,Piu-Anc,Tumbes,v8u85t5e4t,2018-2-15
28,70000409,Hua-Are,Paita Terminal,jmkrkq326r,2018-5-7
29,70000630,Cal-Tac,Lima,718wk2cji8,2018-12-28
30,70001211,Apu-Are,Piura Terminal,6hm1c8415s,2018-1-26
31,70000394,Mad-Lim,Chiclayo,9m1q339f49,2018-6-3
32,70001428,Aya-San,Plaza Norte,12mc9637o0,2018-8-16
33,70000944,Lim-Lor,Los Organos,vptjb6p359,2018-10-25
34,70001399,Tac-Jun,Chiclayo,6530t632k1,2018-4-26
35,70001997,Piu-Are,Oficina Juan Pablo,shj60h024u,2018-3-1
36,70000867,Piu-Caj,Los Organos,d59jh0w72d,2018-12-3
37,70000372,Aya-Are,Lima,38pu50w6kt,2018-2-8
38,70001610,Hua-Pas,Paita Terminal,057a699jw2,2018-7-22
39,70001183,Lam-Uca,Tumbes,9v61jxlwpw,2018-1-24
40,70001895,Apu-Anc,Terrapuerto Trujillo,ka6la0qm2s,2018-8-21
41,70000262,Lor-Ica,Plaza Norte,xae6815380,2018-1-25
42,70000686,Mad-Hua,Talara,uv85k371gd,2018-8-18
43,70000440,Ica-Ama,Lima,q9c8407g63,2018-6-21
44,70001197,Cus-Ica,Los Organos,wr3961i4gg,2018-11-14
45,70001089,Pas-Jun,Plaza Norte,tf56g90654,2018-4-23
46,70001487,Cus-Piu,Sullana,n6x9i2j9l6,2018-2-1
47,70000845,Apu-Caj,Paita,kb24hd3wo8,2018-6-17
48,70001426,Pun-San,Talara,xww647lk8v,2018-6-20
49,70001852,Caj-Hua,Los Organos,94d6q30p39,2018-9-6
