DNI_ponente,Cod_capacitacion
00028186,0
84429540,3
48321393,1
25744982,1
12134852,1
36460619,2
26495608,2
78491259,1
18850408,1
80075676,3
36460619,4
96664030,2
69013858,1
80075676,2
33168275,2
65784991,4
25744982,3
88628541,0
25172312,2
35618203,0
18674647,4
24479776,4
24479776,0
19729329,0
39648024,1
45351256,2
19729329,2
41523407,4
06747922,4
24479776,3
77405702,2
12134852,0
84484558,4
70866144,1
84189769,0
00530167,0
61757473,3
24479776,1
15455275,4
22737943,2
85690830,1
78330703,4
88510427,1
06441442,3
45525239,4
06385011,2
84189769,2
54931305,1
90037899,4
85526763,0
