Cod_capacitacion,DNI_ponente,Fecha
0,78790339,2013-5-10
1,24689971,2014-6-25
2,30456447,2016-12-13
3,47663744,2015-3-3
4,13415738,2013-11-6
5,78981982,2015-12-2
6,98104054,2014-5-16
7,01353172,2015-8-1
8,78441773,2016-5-10
9,79521070,2015-10-1
10,33587159,2013-1-24
11,75504506,2015-10-28
12,88029591,2016-9-19
13,06415559,2016-4-19
14,13289330,2016-1-17
15,89332241,2016-5-21
16,02834788,2013-11-25
17,98257764,2016-1-10
18,69719154,2013-12-25
19,62023018,2013-7-0
20,13319815,2016-12-26
21,01279870,2015-4-5
22,28593422,2016-5-16
23,30494478,2013-12-12
24,46522798,2014-2-24
25,44966269,2014-8-26
26,40729943,2015-3-2
27,49297351,2014-4-3
28,60802002,2015-1-24
29,93098592,2016-7-23
30,48280967,2015-7-2
31,37623375,2015-5-24
32,93775702,2014-2-5
33,23962991,2013-5-24
34,67720484,2015-11-21
35,98804788,2014-4-5
36,46794437,2016-3-24
37,72154378,2013-8-11
38,97066533,2015-9-2
39,96537516,2013-11-5
40,44015038,2013-12-9
41,11964144,2016-10-12
42,55373557,2016-1-23
43,88111652,2016-2-7
44,39355156,2016-1-17
45,15982406,2013-9-5
46,31239094,2013-6-13
47,27265407,2016-2-16
48,10888557,2014-3-28
49,45131179,2016-4-14
50,81858728,2016-1-5
51,09848463,2014-12-17
52,23264710,2013-4-10
53,81326763,2016-1-9
54,65823137,2014-5-25
55,75861058,2014-6-8
56,24372151,2016-5-26
57,35382898,2016-10-0
58,58428910,2014-2-12
59,89299624,2013-11-28
60,79975354,2014-10-13
61,21035168,2014-7-5
62,31068928,2015-1-4
63,89335410,2014-12-27
64,02770001,2016-2-22
65,64362819,2016-1-6
66,09676518,2014-5-4
67,44490315,2015-10-17
68,53626888,2016-7-23
69,49222615,2014-2-20
70,98707972,2014-3-5
71,83520835,2014-11-27
72,83245847,2016-2-28
73,15306270,2014-7-18
74,96878346,2015-3-27
75,68805096,2016-6-5
76,79783014,2013-11-25
77,99265684,2016-3-19
78,13011477,2013-5-2
79,32616502,2015-11-17
80,43954011,2016-4-11
81,28752313,2014-12-4
82,61363557,2014-6-18
83,60945585,2016-2-14
84,43371500,2016-7-7
85,72426675,2013-5-7
86,27923583,2013-4-20
87,08923227,2014-3-3
88,87556477,2014-5-0
89,71684479,2016-11-20
90,18218855,2013-3-6
91,19736658,2016-8-12
92,58838095,2014-11-13
93,18259894,2015-11-5
94,73636260,2014-11-10
95,42818145,2013-6-24
96,81703663,2014-9-1
97,16812254,2015-2-16
98,56765232,2016-10-5
99,07207517,2013-8-28
100,53413211,2014-8-26
101,88623081,2014-2-25
102,06437665,2016-9-9
103,55394251,2015-2-23
104,47559740,2014-10-20
105,18134073,2015-1-10
106,15871523,2014-5-1
107,46062648,2016-10-2
108,30675552,2013-12-27
109,77125171,2013-5-15
110,04165329,2013-4-21
111,71454694,2013-2-28
112,24806962,2015-7-11
113,43132100,2015-1-10
114,72832423,2013-10-17
115,41400289,2015-7-16
116,72420543,2014-7-24
117,04311389,2015-6-12
118,02982683,2013-11-18
119,25882018,2016-8-15
120,62681825,2014-10-12
121,28345432,2014-5-21
122,58035083,2014-10-2
123,63695303,2016-4-13
124,70017969,2014-11-7
125,66187662,2016-10-0
126,80557364,2016-11-11
127,36799205,2014-5-9
128,13214263,2014-12-15
129,02273962,2016-10-17
130,89299088,2016-3-1
131,91338656,2014-1-23
132,30688261,2015-3-16
133,69597215,2016-8-20
134,27158437,2014-4-6
135,20570010,2016-10-2
136,39674615,2013-8-28
137,60314347,2014-4-27
138,71242313,2014-11-18
139,20761317,2016-3-26
140,57104471,2013-12-11
141,83999863,2015-10-27
142,61331788,2013-12-10
143,47499529,2014-9-27
144,87023688,2016-7-5
145,39737926,2014-9-28
146,73294973,2016-12-0
147,44459571,2014-12-14
148,87332082,2015-4-21
149,02875245,2013-9-16
150,94362906,2016-3-9
151,82310773,2015-5-9
152,55177812,2015-8-12
153,69928243,2016-7-21
154,03624344,2014-4-18
155,09286671,2015-9-18
156,03007297,2016-10-19
157,18886979,2014-4-6
158,69451177,2014-6-27
159,18021018,2014-8-1
160,38052551,2015-4-24
161,59546582,2014-12-24
162,59613258,2015-2-26
163,00395790,2014-2-0
164,45261013,2016-1-0
165,06981541,2013-1-18
166,79360433,2014-4-27
167,18155862,2015-3-8
168,39252743,2014-8-21
169,48954806,2015-8-2
170,79951758,2013-12-26
171,28000310,2013-11-19
172,48090660,2015-10-26
173,73908082,2014-6-18
174,11219926,2013-10-20
175,91396080,2016-6-10
176,85863727,2013-8-12
177,36433430,2015-5-2
178,07496279,2016-10-20
179,65284186,2016-3-5
180,87862101,2016-12-0
181,80193568,2013-5-10
182,07412524,2014-3-27
183,92385903,2016-9-4
184,75478727,2016-11-17
185,26728191,2015-10-13
186,77785230,2015-10-10
187,37276725,2016-5-3
188,86276866,2016-3-15
189,58372781,2015-9-4
190,91459603,2015-9-3
191,21815801,2013-12-22
192,88563161,2015-10-27
193,29112485,2015-10-9
194,79712585,2015-4-25
195,83745967,2016-9-26
196,05446747,2015-6-0
197,98206980,2014-3-8
198,05226732,2015-9-9
199,16668541,2016-9-16
200,97560741,2015-4-9
201,60800061,2014-5-1
202,36893331,2016-11-14
203,07564560,2015-9-3
204,97161097,2015-6-25
205,12028787,2016-3-0
206,06542790,2015-4-28
207,70925592,2013-4-18
208,54328188,2016-10-17
209,27588399,2014-12-21
210,55092707,2015-5-5
