DNI_ponente,Cod_capacitacion
46282011,2485
97323548,1448
56558448,2909
26570309,1502
85297030,1398
46171976,2803
78388685,530
86443777,531
87319791,2647
80979815,1499
05426077,4174
52499874,4497
16623017,31
91132160,2960
06057664,756
67284824,716
31620971,4324
69139819,2680
01230147,1396
64108674,4193
24645837,4535
23991460,2821
98746320,265
58131994,2740
81734804,4216
07721783,1331
34126789,3146
22459055,13
51711314,3453
33690103,4564
96261190,3232
01950550,154
83686327,3797
46718450,1141
85777071,4721
14096283,4339
41736602,3683
91042296,2026
25489485,1864
20016301,4566
02431962,357
96718870,824
86515603,1726
06113274,737
33339883,162
34592086,2092
36934903,1934
65849127,3654
58254236,1433
47321783,925
00633748,2833
96782798,1763
16683116,3777
21035168,1818
54322048,4907
47188063,3074
57607718,3633
83718274,2824
78537032,1087
13911195,1891
10296557,215
96616836,2347
94777342,2582
86831840,2881
51943722,2148
86925688,1522
83153730,1774
61541793,4203
38358968,4778
88585718,3897
31689510,3757
57134559,2653
10612678,2222
66543571,4102
73936802,392
32445731,911
53679077,2682
70100204,4109
74790890,612
83761931,632
01523279,3500
83312209,1798
84931127,3143
00802663,2178
14754442,3374
73947687,3958
80256745,4398
42167777,874
62896105,4793
27101557,1282
03809484,3674
94465605,3497
40550381,1803
37614057,1621
41019561,948
16579173,4232
12266503,2111
44827230,1074
81494232,2032
48139492,4527
02980602,679
11102536,3890
82110146,2800
97364229,3050
77175743,2444
89900624,483
21447380,2877
54062958,3827
70451983,2938
33710841,4800
19253042,405
36600537,1038
08402198,2767
23015098,4122
18010886,1717
67130734,1557
22643997,3486
08060336,3827
06480061,4267
88970947,233
71730751,1210
31326390,4183
53943055,1049
44040838,120
35304911,4811
08810334,578
45261013,1657
40749357,437
23200486,81
82080567,575
76820853,4561
09492671,548
92066667,1636
34511946,2038
51363847,2604
65823035,3968
43378114,4340
38021752,606
32084248,3865
61342122,2080
76813549,3351
22352644,1597
48344919,1979
08300840,2137
25669572,4297
53256096,1563
05226732,2550
97066533,4610
77012974,4190
32644373,1442
43984690,3920
40423397,3313
78144114,4913
51284224,1353
74690119,998
90004020,159
75363573,3796
79594860,3414
91004873,142
94326058,4187
29193568,4617
23143736,4650
15754481,4214
86110212,4057
26262976,2261
71233019,200
00631246,2262
36434501,2145
25275456,3785
67429588,3659
08223637,4635
97481888,1836
16066951,1927
70495836,4206
51384945,2155
29596157,4213
99135453,497
80968268,2995
57876288,828
92542936,4468
17808228,256
23067209,622
16775734,886
43501155,3751
51825898,3969
41019561,2158
39098720,3932
35529889,3388
91412643,1949
44579380,633
86573628,2341
86129983,4932
74383223,62
29739812,253
80992712,2684
72864032,332
02414209,742
02786496,3163
64984635,1426
46102994,2651
31758214,2028
19729663,1705
40738579,156
19662185,3172
42981582,4040
11015673,2562
54632379,4
85604666,3275
78412890,1774
61278968,2309
20289147,3251
55229062,102
70902200,1301
61538165,1974
38058159,1532
39669221,827
79992406,787
57081581,874
29291028,3978
27107258,4400
56878923,4204
52680123,2104
74301548,2161
14562475,626
04242848,260
50400725,2449
64706831,3282
13506431,3857
63152029,2169
60524398,3662
71981193,3160
92560543,4967
78341833,4726
07436850,2594
03159305,1239
32644373,4427
73237555,3013
96498729,1003
70829553,4614
70308482,3165
43535831,2270
61710920,4738
87797980,3166
85112150,2839
80411658,3482
38052551,389
93709924,3695
53871221,3294
35720428,2549
74579728,4830
37583859,4236
47672755,584
74664034,3492
32071311,128
41627765,922
86692382,686
01336390,3908
40729943,1448
42986361,1724
06684972,2409
86260724,2140
99771224,3201
71394013,4507
32289605,1962
28490598,2385
06497175,846
93604558,2402
