DNI_Empleado,DNI_Administrador,Nombre,Apellido_Materno,Apellido_Paterno,Fecha_Nac,Direccion,DepartamentoNombre,AgenciaNombre
70305042,,Trevon,Smith,Anderson,1977-8-21,-12.76/-77.54,Limpieza,Plaza Norte
23982715,,Kason,Anderson,Wilson,1982-3-7,-12.38/-77.05,Conductores,Sullana
07954692,,Norval,Martin,Davis,1998-7-22,-12.69/-77.95,Asistentes,Máncora
26221449,,Solomon,Williams,Lee,1998-11-3,-12.97/-77.53,Ventas,Plaza Norte
51431261,,Isa,Martin,Wilson,1989-1-17,-12.11/-77.89,Ventas,Chiclayo
09728107,,Briley,Brown,Anderson,1981-12-3,-12.45/-77.87,Ventas,Piura Terminal
80980793,70305042,Mira,Jackson,Johnson,1984-2-9,-12.33/-77.71,Limpieza,Plaza Norte
99300966,70305042,Reason,White,Lee,1987-7-18,-12.68/-77.78,Conductores,Lima
75288819,07954692,Emelia,Thompson,Smith,1974-9-0,-12.67/-77.35,Ventas,Paita
94174942,07954692,Alexis,Davis,Johnson,1984-10-14,-12.22/-77.63,Ventas,Piura Terminal
33599254,23982715,Marietta,Martinez,Davis,1986-4-22,-12.83/-77.91,Ventas,Paita
73339852,23982715,Casey,Davis,Brown,1999-9-3,-12.30/-77.52,Ventas,Máncora
67708009,70305042,Danna,Williams,Lee,1971-7-9,-12.54/-77.12,Limpieza,Sullana
22760714,23982715,Refugio,Wilson,Brown,1971-6-7,-12.73/-77.33,Ventas,Tumbes
58832585,26221449,Kacie,Smith,Anderson,1990-5-13,-12.58/-77.92,Conductores,Sullana
13205508,23982715,Cordia,Martinez,Jones,1975-6-19,-12.19/-77.93,Asistentes,Chimbote
92227279,23982715,Cayden,White,Davis,1995-8-2,-12.98/-77.87,Conductores,Sullana
97183296,70305042,Shelly,White,Miller,1981-1-16,-12.75/-77.24,Asistentes,Plaza Norte
07349337,26221449,Aubree,Taylor,Martin,1972-2-4,-12.40/-77.09,Limpieza,Lima
80403977,70305042,Clara,Jones,Jones,1975-7-22,-12.61/-77.64,Conductores,Oficina Bolivar
99007176,23982715,Hays,Martinez,Martinez,1971-4-1,-12.51/-77.06,Asistentes,Paita
70741807,70305042,Carmine,Jones,Thomas,1996-11-4,-12.38/-77.59,Limpieza,Lima
73589835,23982715,Lavonda,Rodriguez,Thompson,1987-1-15,-12.13/-77.56,Limpieza,Piura Terminal
24992023,07954692,Corinne,White,Thompson,1992-9-16,-12.13/-77.62,Ventas,Oficina Bolivar
47323730,70305042,Demian,Garcia,Anderson,1977-5-5,-12.46/-77.05,Asistentes,Terrapuerto Trujillo
76770084,23982715,Jailene,White,Davis,1973-7-11,-12.97/-77.10,Limpieza,Oficina Juan Pablo
77272019,23982715,Fernando,Jackson,Brown,1987-5-13,-12.66/-77.62,Asistentes,Los Organos
58411304,26221449,Shane,Garcia,Lee,1981-10-27,-12.50/-77.13,Asistentes,Oficina Juan Pablo
19352934,23982715,Emilie,Anderson,Thompson,1993-8-15,-12.74/-77.47,Conductores,Chimbote
02715768,07954692,Lorelei,Williams,Anderson,1970-3-5,-12.68/-77.18,Limpieza,Lima
70925592,26221449,Kasey,Wilson,Rodriguez,1972-5-22,-12.93/-77.20,Limpieza,Sullana
63403283,26221449,Newell,Moore,Lee,1974-4-22,-12.87/-77.65,Conductores,Plaza Norte
99934434,23982715,Claud,Williams,Jackson,1985-6-3,-12.17/-77.66,Limpieza,Tumbes
96848746,26221449,Dann,Thompson,Brown,1994-9-19,-12.28/-77.30,Ventas,Tumbes
57451389,26221449,Meg,Martin,Taylor,1990-1-24,-12.96/-77.31,Asistentes,Lima
00116136,70305042,Dellar,Taylor,Jones,1992-4-9,-12.49/-77.75,Conductores,Plaza Norte
18942754,70305042,Jillian,Williams,Moore,1973-9-13,-12.04/-77.78,Ventas,Oficina Bolivar
26857722,07954692,Letitia,Jones,Johnson,1980-12-4,-12.84/-77.17,Limpieza,Máncora
37191711,70305042,Isis,Lee,Rodriguez,1998-6-19,-12.56/-77.84,Limpieza,Paita
58030610,07954692,Whit,Miller,Davis,1992-11-21,-12.73/-77.48,Asistentes,Máncora
67711365,70305042,Sharon,White,Davis,1980-9-24,-12.73/-77.67,Ventas,Terrapuerto Trujillo
37170470,26221449,Kylee,Jackson,White,1977-10-3,-12.88/-77.78,Asistentes,Oficina Juan Pablo
34414703,70305042,Valerie,Thompson,Wilson,1977-5-16,-12.67/-77.67,Limpieza,Piura Terminal
45590679,07954692,Tahj,Anderson,Taylor,1998-2-5,-12.49/-77.06,Ventas,Terrapuerto Trujillo
99962842,26221449,Barron,Thomas,Wilson,1988-9-24,-12.29/-77.94,Conductores,Plaza Norte
48746602,23982715,Bert,Lee,Garcia,1978-2-5,-12.36/-77.24,Asistentes,Talara
76996140,23982715,Nichol,Thompson,Martinez,1984-4-14,-12.20/-77.04,Asistentes,Sullana
