Num_Ticket, Fecha, Hora, Subtotal, Total, ClienteDNI,RUC
1,2017-2-21,1:7:46,313.000000,369.340000,70020957,37373139928
3,2016-10-0,5:40:53,193.000000,227.740000,70036141,93288624343
5,2016-4-17,11:48:7,314.000000,370.520000,70012814,62853526227
7,2013-3-9,16:31:8,188.000000,221.840000,70011535,23324538726
9,2013-7-15,19:38:51,111.000000,130.980000,70011809,16617111516
11,2015-3-12,16:40:23,232.000000,273.760000,70028577,47516164939
13,2012-2-5,5:10:39,158.000000,186.440000,70000199,66286525954
15,2011-5-0,8:33:28,308.000000,363.440000,70031325,58538248713
17,2012-12-19,12:6:43,302.000000,356.360000,70012072,44739248695
19,2016-4-9,7:53:36,277.000000,326.860000,70001160,54222251638
21,2017-11-12,18:53:44,153.000000,180.540000,70020699,44572962745
23,2015-11-5,12:41:8,341.000000,402.380000,70010161,58519264166
25,2014-8-15,20:50:55,327.000000,385.860000,70028864,41582926479
27,2014-6-1,18:46:28,133.000000,156.940000,70013401,69975574191
29,2011-9-5,10:19:20,249.000000,293.820000,70001352,58696696851
31,2014-10-1,3:50:3,216.000000,254.880000,70004026,24424246154
33,2012-1-20,24:47:33,189.000000,223.020000,70005783,63527317754
35,2011-3-9,10:51:18,236.000000,278.480000,70030765,59734978611
37,2011-1-20,19:2:13,390.000000,460.200000,70016413,34297549121
39,2017-12-0,5:53:55,378.000000,446.040000,70030687,62493289679
41,2012-1-19,17:25:55,381.000000,449.580000,70029328,99381343561
43,2014-5-28,13:1:37,131.000000,154.580000,70009682,69817718491
45,2016-6-11,14:50:53,346.000000,408.280000,70031275,96142123517
47,2014-5-7,14:21:17,343.000000,404.740000,70001661,39568562368
49,2012-4-22,5:24:48,398.000000,469.640000,70029119,59677118234
51,2014-7-9,11:11:14,299.000000,352.820000,70026857,88782555968
53,2012-9-25,2:25:4,282.000000,332.760000,70027157,33836234514
55,2011-2-8,21:41:38,109.000000,128.620000,70019406,83856415367
57,2014-9-4,9:3:3,340.000000,401.200000,70023538,43583838852
59,2014-3-1,20:25:30,118.000000,139.240000,70002916,63686432433
61,2012-10-21,1:28:51,193.000000,227.740000,70034032,73536479132
63,2015-12-9,19:32:30,153.000000,180.540000,70001039,31744755294
65,2012-12-15,1:10:26,207.000000,244.260000,70003846,15387283481
67,2014-4-17,1:55:58,108.000000,127.440000,70025345,49838922781
69,2011-11-6,24:21:44,196.000000,231.280000,70015883,35761773888
71,2013-11-0,5:6:49,202.000000,238.360000,70038706,63232951742
73,2015-11-5,1:53:35,177.000000,208.860000,70020700,14889718635
75,2016-9-9,7:45:13,376.000000,443.680000,70005007,25789897951
77,2014-5-19,15:35:9,334.000000,394.120000,70026794,41313863844
79,2017-5-13,5:17:34,241.000000,284.380000,70029352,31626485332
81,2012-10-27,16:6:0,277.000000,326.860000,70005148,89341439956
83,2015-9-15,7:35:19,169.000000,199.420000,70035959,83616833413
85,2011-10-16,6:3:55,143.000000,168.740000,70009594,55227598172
87,2014-6-7,10:52:24,256.000000,302.080000,70015477,11629767578
89,2016-10-23,24:17:54,242.000000,285.560000,70018899,18313359233
91,2016-12-16,23:21:4,262.000000,309.160000,70027510,78496971756
93,2015-3-1,4:18:1,332.000000,391.760000,70026007,36229293571
95,2014-5-25,23:37:7,257.000000,303.260000,70010924,32894443753
97,2013-10-12,23:29:37,359.000000,423.620000,70020131,14438579912
99,2012-2-24,8:46:5,397.000000,468.460000,70039745,65749797144
101,2015-9-0,6:13:57,383.000000,451.940000,70029925,79147966468
103,2011-1-17,14:48:48,244.000000,287.920000,70036161,45826249274
105,2012-5-13,17:41:15,185.000000,218.300000,70039578,47254774848
107,2013-10-9,1:32:32,203.000000,239.540000,70025332,55863978763
109,2014-2-10,7:21:35,235.000000,277.300000,70036269,77158863828
111,2017-5-15,22:15:36,322.000000,379.960000,70016833,73126315655
113,2014-11-19,5:18:12,192.000000,226.560000,70013605,86865536672
115,2015-5-3,3:1:5,135.000000,159.300000,70026747,88141372952
117,2012-7-18,17:24:46,207.000000,244.260000,70003581,25479577186
119,2012-10-10,3:32:55,176.000000,207.680000,70003033,31536424268
121,2016-6-22,6:26:47,191.000000,225.380000,70006600,12919381511
123,2011-6-7,4:13:40,215.000000,253.700000,70024325,23648458285
125,2015-7-15,2:17:14,102.000000,120.360000,70034849,17257931316
127,2011-6-11,3:2:47,368.000000,434.240000,70035235,72189329356
129,2015-2-7,1:21:4,151.000000,178.180000,70020176,61479819653
131,2015-9-28,15:51:54,375.000000,442.500000,70013248,65999515292
133,2013-12-9,18:9:16,127.000000,149.860000,70038792,21455679313
135,2014-12-22,3:17:39,328.000000,387.040000,70025623,56343513187
137,2011-12-18,2:6:27,397.000000,468.460000,70024833,78317547237
139,2013-1-21,12:41:25,326.000000,384.680000,70027725,71557959342
141,2014-2-10,9:24:4,212.000000,250.160000,70028975,98291841733
143,2011-6-1,19:24:4,224.000000,264.320000,70033388,44247162946
145,2015-6-22,15:24:36,133.000000,156.940000,70003109,44884966721
147,2015-12-2,6:46:10,389.000000,459.020000,70006354,62433758843
149,2011-5-11,5:39:12,159.000000,187.620000,70020533,98849983175
151,2011-9-28,7:22:37,260.000000,306.800000,70030973,84147426796
153,2015-2-12,21:12:9,115.000000,135.700000,70010013,75679928769
155,2017-3-8,12:26:35,187.000000,220.660000,70017976,31918679857
157,2015-2-2,17:2:12,312.000000,368.160000,70037987,21266225713
159,2013-10-21,12:37:26,382.000000,450.760000,70011386,51933731191
161,2016-6-18,6:58:20,262.000000,309.160000,70030405,47686827228
163,2016-11-7,1:26:16,322.000000,379.960000,70005184,66544324188
165,2013-3-20,10:56:48,387.000000,456.660000,70032578,27438978367
167,2012-1-11,20:26:44,247.000000,291.460000,70021628,53559188194
169,2012-9-17,3:0:31,236.000000,278.480000,70016176,41647377349
171,2016-5-27,2:36:55,199.000000,234.820000,70010678,73279411724
173,2016-4-19,23:14:28,285.000000,336.300000,70020758,33155977894
175,2012-9-2,3:13:0,106.000000,125.080000,70023071,36175361753
177,2017-10-11,5:27:39,182.000000,214.760000,70011805,73532662572
179,2015-7-20,19:4:6,339.000000,400.020000,70034870,13657787135
181,2017-11-7,8:36:41,380.000000,448.400000,70001019,75829997813
183,2013-1-12,7:12:39,253.000000,298.540000,70038859,54856124785
185,2017-3-5,5:10:23,243.000000,286.740000,70014261,12672826875
187,2013-10-1,8:42:59,258.000000,304.440000,70038810,54232695687
189,2015-4-8,2:0:27,342.000000,403.560000,70029051,62148376233
191,2012-1-26,8:52:45,303.000000,357.540000,70038601,75221676126
193,2017-11-23,18:16:25,159.000000,187.620000,70035484,51572682243
195,2015-12-22,24:43:53,321.000000,378.780000,70031865,43552957249
197,2012-12-23,12:37:51,356.000000,420.080000,70031171,87678648314
199,2014-4-9,4:56:20,125.000000,147.500000,70026985,23616548771
201,2012-12-9,24:4:46,183.000000,215.940000,70015436,88518976559
203,2016-1-23,21:32:37,127.000000,149.860000,70037438,23699438321
205,2015-8-4,3:51:34,379.000000,447.220000,70009849,32774697446
207,2017-8-25,5:31:28,263.000000,310.340000,70004625,95796565189
209,2012-9-1,10:32:47,363.000000,428.340000,70030113,94636965281
211,2017-11-20,3:19:25,290.000000,342.200000,70017468,13511459383
213,2017-11-9,5:13:41,194.000000,228.920000,70035529,78994712465
215,2012-10-9,12:16:56,393.000000,463.740000,70034045,36144319397
217,2014-11-8,12:13:5,229.000000,270.220000,70025956,89635139339
219,2015-9-0,5:47:22,270.000000,318.600000,70023561,44963613614
221,2015-1-25,12:0:7,315.000000,371.700000,70019208,79672315485
223,2015-1-3,9:12:45,193.000000,227.740000,70015283,47397439446
225,2016-2-21,23:34:18,299.000000,352.820000,70010284,48477725193
227,2013-2-17,22:9:31,229.000000,270.220000,70011949,33947545624
229,2014-4-5,23:40:3,236.000000,278.480000,70032228,94113188417
231,2011-10-3,16:20:19,288.000000,339.840000,70033079,34264587279
233,2013-2-17,20:31:18,131.000000,154.580000,70021267,91331952698
235,2011-5-16,18:38:16,224.000000,264.320000,70010218,48655357996
237,2016-7-14,18:30:28,117.000000,138.060000,70016626,41299747424
239,2016-3-13,24:5:45,121.000000,142.780000,70020861,85284595128
241,2013-8-5,21:30:22,117.000000,138.060000,70013999,71712242867
243,2013-12-11,16:45:12,163.000000,192.340000,70006335,81679428248
245,2014-6-3,14:25:55,375.000000,442.500000,70037619,35881543944
247,2017-1-28,22:36:35,206.000000,243.080000,70038701,38149824895
249,2016-9-7,21:57:38,129.000000,152.220000,70020328,87451536786
251,2011-7-24,2:34:26,346.000000,408.280000,70038281,61139523746
253,2013-11-1,11:38:2,134.000000,158.120000,70019399,17164472371
255,2017-5-28,6:7:56,108.000000,127.440000,70013989,46319674829
257,2011-6-18,19:51:30,398.000000,469.640000,70003952,71175896995
259,2016-2-6,15:10:23,347.000000,409.460000,70006750,54115738372
261,2011-3-14,1:15:28,171.000000,201.780000,70005856,91487823782
263,2016-5-21,10:46:45,159.000000,187.620000,70001576,94431564217
265,2015-4-22,15:58:21,247.000000,291.460000,70005707,92948153485
267,2011-8-14,4:49:46,360.000000,424.800000,70038734,21318836237
269,2016-7-24,19:20:7,315.000000,371.700000,70023662,73282644729
271,2015-4-5,5:31:54,128.000000,151.040000,70021596,98288815322
273,2014-1-20,10:59:27,107.000000,126.260000,70039898,35697485254
275,2011-2-8,21:47:44,122.000000,143.960000,70011660,59788896235
277,2016-12-23,10:29:34,264.000000,311.520000,70037593,31655931167
279,2015-11-6,11:44:6,161.000000,189.980000,70013075,25545771258
281,2013-12-26,21:25:1,254.000000,299.720000,70039668,83869637661
283,2016-11-22,6:2:41,202.000000,238.360000,70037294,63275918739
285,2017-10-22,11:57:36,321.000000,378.780000,70006491,13568572538
287,2011-9-5,6:19:15,367.000000,433.060000,70000017,87241948525
289,2014-3-25,5:39:44,108.000000,127.440000,70028136,65425298487
291,2013-3-22,1:15:28,207.000000,244.260000,70027008,78599728379
293,2014-12-24,15:45:18,233.000000,274.940000,70022299,12447936395
295,2014-5-20,12:48:37,173.000000,204.140000,70011251,51875753163
