Num_Ticket, Fecha, Hora, Subtotal, Total, ClienteDNI
0,2016-3-11,2:48:16,394.000000,464.920000,70012908
2,2014-12-6,12:47:8,363.000000,428.340000,70022103
4,2017-3-25,22:35:59,274.000000,323.320000,70008100
6,2011-1-20,8:19:28,265.000000,312.700000,70017231
8,2017-10-1,23:27:53,281.000000,331.580000,70034694
10,2013-1-24,11:15:2,102.000000,120.360000,70038130
12,2016-11-17,23:28:38,137.000000,161.660000,70017368
14,2016-12-20,17:11:13,321.000000,378.780000,70008210
16,2016-12-26,3:12:1,154.000000,181.720000,70011706
18,2013-2-3,7:41:40,254.000000,299.720000,70010235
20,2011-6-2,19:3:50,368.000000,434.240000,70025041
22,2013-9-22,23:32:18,251.000000,296.180000,70015874
24,2011-3-19,13:29:6,340.000000,401.200000,70039900
26,2012-7-16,19:43:14,146.000000,172.280000,70000443
28,2015-5-19,1:9:12,163.000000,192.340000,70013422
30,2014-8-4,22:43:27,137.000000,161.660000,70021559
32,2015-8-26,19:25:51,157.000000,185.260000,70037063
34,2014-11-1,1:4:29,315.000000,371.700000,70020939
36,2014-7-13,10:26:56,289.000000,341.020000,70022401
38,2017-2-2,12:48:32,100.000000,118.000000,70033687
40,2014-10-24,19:40:47,258.000000,304.440000,70020707
42,2017-1-8,6:58:53,354.000000,417.720000,70021864
44,2017-6-0,15:3:35,311.000000,366.980000,70009374
46,2015-4-19,17:40:58,130.000000,153.400000,70035123
48,2013-9-18,5:17:1,140.000000,165.200000,70031503
50,2016-3-15,4:51:47,192.000000,226.560000,70001930
52,2017-1-24,16:34:36,163.000000,192.340000,70000410
54,2017-10-4,16:40:59,329.000000,388.220000,70010320
56,2014-1-22,23:12:42,255.000000,300.900000,70036068
58,2012-7-2,15:33:18,278.000000,328.040000,70003171
60,2016-6-25,18:46:49,298.000000,351.640000,70034197
62,2012-1-27,13:58:57,329.000000,388.220000,70014202
64,2016-5-20,19:56:51,313.000000,369.340000,70010780
66,2012-10-14,21:19:29,259.000000,305.620000,70033529
68,2011-11-19,21:32:0,202.000000,238.360000,70033646
70,2013-6-25,14:53:38,307.000000,362.260000,70024388
72,2015-3-10,4:58:14,105.000000,123.900000,70005146
74,2011-2-10,24:14:46,295.000000,348.100000,70026564
76,2013-8-19,13:6:18,291.000000,343.380000,70027378
78,2015-1-9,10:33:48,298.000000,351.640000,70027250
80,2015-3-10,11:44:2,348.000000,410.640000,70030740
82,2012-6-6,1:30:20,286.000000,337.480000,70021003
84,2014-1-20,21:31:11,301.000000,355.180000,70035147
86,2012-1-14,10:48:59,319.000000,376.420000,70022208
88,2013-11-26,12:37:31,373.000000,440.140000,70037584
90,2012-2-20,4:30:56,348.000000,410.640000,70035830
92,2013-4-28,17:7:29,312.000000,368.160000,70031308
94,2016-5-24,11:52:0,392.000000,462.560000,70007846
96,2015-1-2,10:58:45,177.000000,208.860000,70020348
98,2014-1-16,17:1:41,249.000000,293.820000,70000991
100,2015-8-8,5:2:7,309.000000,364.620000,70016838
102,2013-10-12,16:49:41,321.000000,378.780000,70019205
104,2016-7-28,22:54:6,392.000000,462.560000,70027009
106,2013-11-18,20:58:12,333.000000,392.940000,70033418
108,2016-12-22,16:46:6,353.000000,416.540000,70030392
110,2016-9-26,17:57:59,312.000000,368.160000,70011404
112,2016-8-16,8:49:12,171.000000,201.780000,70030700
114,2016-5-6,5:30:28,312.000000,368.160000,70004068
116,2016-4-25,4:31:11,169.000000,199.420000,70031754
118,2013-7-0,14:6:6,397.000000,468.460000,70038198
120,2017-6-2,24:16:42,206.000000,243.080000,70013122
122,2011-7-1,5:26:33,153.000000,180.540000,70039702
124,2016-1-14,15:20:16,239.000000,282.020000,70001255
126,2015-10-27,7:52:8,355.000000,418.900000,70015106
128,2011-8-3,23:40:54,248.000000,292.640000,70038646
130,2012-10-7,5:7:47,120.000000,141.600000,70005655
132,2012-1-24,4:37:21,377.000000,444.860000,70022307
134,2017-11-13,5:35:40,268.000000,316.240000,70029677
136,2011-3-19,21:14:18,352.000000,415.360000,70009117
138,2013-7-6,7:43:43,190.000000,224.200000,70003983
140,2011-3-12,10:39:23,196.000000,231.280000,70035681
142,2012-5-13,2:42:57,377.000000,444.860000,70006534
144,2011-10-23,22:59:37,155.000000,182.900000,70039953
146,2017-10-24,24:3:0,195.000000,230.100000,70038354
148,2016-11-10,6:24:36,151.000000,178.180000,70016442
150,2014-3-8,21:58:3,332.000000,391.760000,70022719
152,2016-2-20,24:26:51,308.000000,363.440000,70019605
154,2011-9-4,8:29:23,183.000000,215.940000,70012791
156,2015-12-3,1:45:2,130.000000,153.400000,70039015
158,2013-6-16,5:59:57,332.000000,391.760000,70005392
160,2015-5-0,3:29:23,166.000000,195.880000,70008045
162,2017-2-22,15:1:12,255.000000,300.900000,70029817
164,2016-3-24,22:25:46,140.000000,165.200000,70019362
166,2013-10-12,12:43:55,272.000000,320.960000,70025948
168,2015-4-0,23:7:24,139.000000,164.020000,70002143
170,2013-5-23,13:22:23,188.000000,221.840000,70031745
172,2015-3-24,15:16:38,356.000000,420.080000,70004698
174,2017-12-16,20:32:35,371.000000,437.780000,70029629
176,2012-12-14,9:26:42,398.000000,469.640000,70009701
178,2015-7-24,16:35:54,170.000000,200.600000,70020863
180,2016-4-11,14:22:4,142.000000,167.560000,70015365
182,2012-4-15,1:14:12,199.000000,234.820000,70029056
184,2017-12-3,11:10:46,368.000000,434.240000,70001963
186,2011-7-13,14:1:55,201.000000,237.180000,70011019
188,2015-9-7,10:24:9,293.000000,345.740000,70032338
190,2012-4-27,12:42:16,300.000000,354.000000,70037740
192,2011-4-9,7:6:28,174.000000,205.320000,70028146
194,2015-5-18,11:51:38,245.000000,289.100000,70032700
196,2016-12-14,3:31:12,241.000000,284.380000,70001955
198,2011-12-11,11:42:25,382.000000,450.760000,70026574
200,2012-2-3,11:20:6,366.000000,431.880000,70003488
202,2011-6-12,8:37:28,106.000000,125.080000,70037201
204,2011-6-14,6:20:12,304.000000,358.720000,70010314
206,2013-8-20,17:23:31,389.000000,459.020000,70005418
208,2015-7-0,6:12:22,308.000000,363.440000,70003467
210,2012-5-3,16:45:51,291.000000,343.380000,70015659
212,2017-3-26,5:12:43,395.000000,466.100000,70017427
214,2017-3-19,14:21:8,192.000000,226.560000,70001474
216,2015-10-7,13:56:42,156.000000,184.080000,70036865
218,2013-6-3,4:49:24,176.000000,207.680000,70021379
220,2015-11-9,2:49:49,124.000000,146.320000,70012781
222,2017-10-6,8:3:17,238.000000,280.840000,70031759
224,2012-2-22,16:50:53,255.000000,300.900000,70031667
226,2015-4-10,18:24:46,171.000000,201.780000,70031645
228,2011-9-3,3:7:40,241.000000,284.380000,70027275
230,2012-8-18,6:9:33,322.000000,379.960000,70035456
232,2017-1-16,19:41:29,123.000000,145.140000,70002520
234,2015-10-11,3:16:10,329.000000,388.220000,70019649
236,2015-12-20,24:24:55,367.000000,433.060000,70021096
238,2014-6-6,23:41:3,196.000000,231.280000,70004869
240,2011-4-21,12:8:54,184.000000,217.120000,70009752
242,2017-6-23,22:31:13,244.000000,287.920000,70006920
244,2017-5-13,18:15:20,227.000000,267.860000,70020733
246,2015-9-5,1:49:54,217.000000,256.060000,70037290
248,2015-3-23,21:30:12,339.000000,400.020000,70003552
250,2017-8-15,19:40:11,305.000000,359.900000,70003836
252,2012-8-25,11:35:51,351.000000,414.180000,70035294
254,2017-4-25,11:51:6,221.000000,260.780000,70017402
256,2011-3-16,5:52:55,227.000000,267.860000,70021439
258,2012-1-22,14:47:44,328.000000,387.040000,70006642
260,2017-8-17,23:7:39,250.000000,295.000000,70035336
262,2013-9-14,9:15:9,116.000000,136.880000,70035777
264,2013-7-21,20:32:38,373.000000,440.140000,70012293
266,2016-12-11,8:15:31,176.000000,207.680000,70037468
268,2012-10-7,14:44:30,101.000000,119.180000,70023514
270,2013-12-11,9:11:18,187.000000,220.660000,70035956
272,2012-6-8,5:3:24,282.000000,332.760000,70012955
274,2013-1-14,18:15:45,116.000000,136.880000,70018275
276,2013-1-15,21:1:25,147.000000,173.460000,70028596
278,2012-10-15,16:0:21,131.000000,154.580000,70038194
280,2011-1-15,23:33:29,273.000000,322.140000,70026641
282,2016-4-21,5:19:56,261.000000,307.980000,70028420
284,2016-10-0,15:25:57,295.000000,348.100000,70020596
286,2015-4-20,8:48:57,170.000000,200.600000,70024735
288,2012-11-28,22:38:52,122.000000,143.960000,70009917
290,2011-12-28,16:18:32,128.000000,151.040000,70032631
292,2016-8-1,9:28:4,333.000000,392.940000,70033781
294,2011-11-23,4:17:13,102.000000,120.360000,70018492
296,2011-3-5,11:16:47,139.000000,164.020000,70028631
298,2017-12-25,22:11:50,362.000000,427.160000,70037286
300,2012-1-15,22:24:59,283.000000,333.940000,70023621
302,2012-6-21,2:19:30,135.000000,159.300000,70033425
304,2012-9-0,7:14:35,174.000000,205.320000,70021928
306,2014-9-17,16:32:17,228.000000,269.040000,70015716
308,2016-5-10,2:44:12,343.000000,404.740000,70023702
310,2014-3-20,12:11:45,175.000000,206.500000,70002412
312,2015-5-7,13:4:52,367.000000,433.060000,70000471
314,2015-7-1,19:15:48,218.000000,257.240000,70005737
316,2015-2-8,5:29:22,306.000000,361.080000,70030029
318,2012-7-8,17:24:14,399.000000,470.820000,70023796
320,2012-8-24,15:35:51,203.000000,239.540000,70018560
322,2014-3-14,12:49:49,250.000000,295.000000,70028606
324,2011-10-4,3:35:35,157.000000,185.260000,70021624
326,2011-7-21,22:28:2,357.000000,421.260000,70036118
328,2013-3-10,8:21:21,172.000000,202.960000,70018467
330,2012-2-7,14:44:20,170.000000,200.600000,70034245
332,2014-5-24,5:1:21,216.000000,254.880000,70020027
334,2016-7-19,21:12:25,187.000000,220.660000,70009033
336,2011-7-21,14:0:18,319.000000,376.420000,70028734
338,2012-9-2,23:26:2,175.000000,206.500000,70027706
340,2017-12-19,2:19:35,336.000000,396.480000,70021634
342,2013-6-13,14:51:41,346.000000,408.280000,70010560
344,2014-10-12,15:31:28,146.000000,172.280000,70030363
346,2016-4-8,17:15:37,319.000000,376.420000,70014048
348,2017-3-11,4:17:43,298.000000,351.640000,70022929
350,2016-5-17,11:25:49,370.000000,436.600000,70033474
352,2012-12-2,18:13:4,364.000000,429.520000,70028477
354,2011-12-23,21:26:8,325.000000,383.500000,70011139
356,2011-2-27,16:19:7,391.000000,461.380000,70026997
358,2013-11-15,17:43:5,214.000000,252.520000,70007361
360,2015-7-8,9:34:17,113.000000,133.340000,70004466
362,2013-3-21,5:25:23,303.000000,357.540000,70027401
364,2016-2-13,18:6:18,365.000000,430.700000,70021493
366,2011-1-17,11:2:54,220.000000,259.600000,70038694
368,2011-3-23,24:24:54,223.000000,263.140000,70000950
370,2012-12-21,22:25:37,221.000000,260.780000,70007609
372,2016-3-23,14:19:27,145.000000,171.100000,70033421
374,2011-11-0,16:46:42,377.000000,444.860000,70028463
376,2012-2-27,16:31:26,180.000000,212.400000,70019733
378,2015-3-26,12:14:54,371.000000,437.780000,70001823
380,2014-1-6,2:26:14,261.000000,307.980000,70000301
382,2012-7-2,22:40:54,137.000000,161.660000,70026928
384,2017-5-21,12:29:58,124.000000,146.320000,70038790
386,2013-3-22,20:9:55,141.000000,166.380000,70038110
388,2016-7-21,6:7:46,273.000000,322.140000,70003228
390,2015-11-20,18:16:55,329.000000,388.220000,70020867
392,2014-7-8,1:22:6,277.000000,326.860000,70038802
394,2015-4-21,3:42:43,370.000000,436.600000,70031885
396,2011-10-4,10:32:50,128.000000,151.040000,70022991
398,2012-3-4,9:41:56,271.000000,319.780000,70018226
400,2014-2-28,16:47:38,136.000000,160.480000,70023482
402,2013-5-3,12:59:52,195.000000,230.100000,70029087
404,2016-6-12,10:2:16,286.000000,337.480000,70037925
406,2013-7-21,1:49:57,274.000000,323.320000,70032330
408,2015-1-26,3:25:11,201.000000,237.180000,70015332
410,2011-7-17,24:2:13,337.000000,397.660000,70024345
412,2013-3-19,23:43:35,383.000000,451.940000,70007598
414,2015-12-6,10:34:12,230.000000,271.400000,70002831
416,2015-10-5,2:34:37,320.000000,377.600000,70005918
418,2014-5-13,1:22:48,281.000000,331.580000,70032162
420,2015-12-3,8:14:17,264.000000,311.520000,70000889
422,2017-6-19,3:53:35,148.000000,174.640000,70021469
424,2012-12-0,15:0:42,299.000000,352.820000,70019728
426,2011-4-20,14:23:10,278.000000,328.040000,70021643
428,2016-2-18,19:29:53,163.000000,192.340000,70016684
430,2015-3-8,8:11:32,228.000000,269.040000,70036840
432,2012-10-15,7:12:23,217.000000,256.060000,70010596
434,2015-9-26,13:3:31,261.000000,307.980000,70029813
436,2012-6-23,20:35:4,338.000000,398.840000,70023090
438,2017-6-15,5:55:39,171.000000,201.780000,70027302
440,2013-5-2,16:41:55,111.000000,130.980000,70025691
442,2016-10-0,6:21:59,182.000000,214.760000,70011084
444,2015-10-28,20:14:52,216.000000,254.880000,70006916
446,2016-7-10,16:12:53,244.000000,287.920000,70021957
448,2012-1-4,4:52:58,154.000000,181.720000,70029510
450,2011-12-28,18:44:11,102.000000,120.360000,70018559
452,2011-3-21,10:23:23,107.000000,126.260000,70034292
454,2014-5-23,7:3:27,173.000000,204.140000,70015615
456,2016-2-9,6:25:6,105.000000,123.900000,70016190
458,2016-2-1,1:0:35,198.000000,233.640000,70002617
460,2014-10-9,23:0:34,269.000000,317.420000,70014041
462,2017-8-3,17:23:53,293.000000,345.740000,70003236
464,2014-3-18,8:39:33,192.000000,226.560000,70012802
466,2016-6-20,9:30:6,313.000000,369.340000,70036232
468,2013-1-0,6:45:50,245.000000,289.100000,70019620
470,2017-8-18,4:2:53,206.000000,243.080000,70011037
472,2014-12-8,6:13:36,161.000000,189.980000,70038247
474,2012-2-28,15:58:49,388.000000,457.840000,70025873
476,2017-3-15,10:14:42,252.000000,297.360000,70032073
478,2012-7-26,9:1:29,302.000000,356.360000,70024738
480,2013-4-26,13:38:21,209.000000,246.620000,70035526
482,2014-11-14,1:23:35,237.000000,279.660000,70012382
484,2013-7-1,3:33:41,123.000000,145.140000,70028482
486,2013-5-6,2:2:31,333.000000,392.940000,70027295
488,2015-10-2,21:16:59,172.000000,202.960000,70019001
490,2014-10-13,21:19:37,164.000000,193.520000,70030084
492,2017-1-22,23:18:47,360.000000,424.800000,70011978
